Category,Negative,Neutral,Positive
ART_AND_DESIGN,15.97,16.23,67.8
AUTO_AND_VEHICLES,5.88,12.46,81.66
BEAUTY,19.23,26.04,54.73
BOOKS_AND_REFERENCE,14.59,16.59,68.82
BUSINESS,15.62,23.84,60.54
COMICS,2.22,11.11,86.67
COMMUNICATION,20.21,17.19,62.6
DATING,21.05,16.68,62.27
EDUCATION,12.04,10.63,77.33
ENTERTAINMENT,25.24,14.64,60.13
EVENTS,10.13,10.76,79.11
FAMILY,27.48,10.35,62.17
FINANCE,22.3,14.22,63.48
FOOD_AND_DRINK,14.42,13.17,72.41
GAME,36.06,5.0,58.94
HEALTH_AND_FITNESS,11.43,10.58,77.99
HOUSE_AND_HOME,17.03,21.33,61.64
LIBRARIES_AND_DEMO,15.32,13.21,71.47
LIFESTYLE,17.71,20.13,62.16
MAPS_AND_NAVIGATION,14.06,18.75,67.19
MEDICAL,15.93,15.0,69.07
NEWS_AND_MAGAZINES,26.54,13.94,59.52
PARENTING,8.85,20.0,71.15
PERSONALIZATION,14.56,15.45,69.99
PHOTOGRAPHY,19.98,13.61,66.41
PRODUCTIVITY,18.39,13.94,67.67
SHOPPING,19.71,14.92,65.37
SOCIAL,28.21,17.27,54.52
SPORTS,22.79,13.79,63.42
TOOLS,17.64,21.98,60.37
TRAVEL_AND_LOCAL,21.69,17.2,61.11
VIDEO_PLAYERS,25.08,17.52,57.4
WEATHER,13.93,15.42,70.65
